
19|19|67|D|19|19|67|D|5120|237CPFI00273953|20/11/2008 11:23:36 a.m.|La Marquesa|La Marquesa|12|100.00|100.00|410|0|999|12
19|19|67|D|19|19|67|D|187|H251CPFI00640215|20/11/2008 11:23:51 a.m.|La Marquesa|La Marquesa|12|100.00|100.00|410|0|999|12
19|19|67|D|19|19|67|D|5120|119CPFI00273733|20/11/2008 11:25:09 a.m.|La Marquesa|La Marquesa|12|100.00|100.00|410|0|999|12
19|19|67|D|19|19|67|D|164|CPFI00719266|20/11/2008 11:25:13 a.m.|La Marquesa|La Marquesa|12|50.00|50.00|410|0|999|12
19|19|67|D|19|19|67|D|164|35CPFI00417240|20/11/2008 11:25:18 a.m.|La Marquesa|La Marquesa|12|100.00|100.00|410|0|999|12
19|19|67|D|19|19|67|D|164|FR-T076CPFI00416991|20/11/2008 11:25:26 a.m.|La Marquesa|La Marquesa|12|100.00|100.00|410|0|999|12
19|19|67|D|19|19|67|D|164|CPFI00667232|20/11/2008 11:25:28 a.m.|La Marquesa|La Marquesa|12|100.00|100.00|410|0|999|12
19|19|67|D|19|19|67|D|4707|CPFI00339796|20/11/2008 11:25:44 a.m.|La Marquesa|La Marquesa|1|50.00|50.00|410|0|999|1
19|19|67|D|19|19|67|D|5085|951CPFI00356820|20/11/2008 11:26:21 a.m.|La Marquesa|La Marquesa|12|100.00|100.00|410|0|999|12
19|19|67|D|19|19|67|D|2969|9846CPFI00497163|20/11/2008 11:27:02 a.m.|La Marquesa|La Marquesa|9|100.00|100.00|410|0|999|9
19|19|67|D|19|19|67|D|5101|CPFI00470740|20/11/2008 11:27:15 a.m.|La Marquesa|La Marquesa|1|50.00|50.00|410|0|999|1
19|19|67|D|19|19|67|D|164|475CPFI00417255|20/11/2008 11:27:42 a.m.|La Marquesa|La Marquesa|12|50.00|50.00|410|0|999|12
19|19|67|D|19|19|67|D|5110|CPFI00290510|20/11/2008 11:27:56 a.m.|La Marquesa|La Marquesa|1|25.00|25.00|410|0|999|1
19|19|67|D|19|19|67|D|164|FR-T018CPFI00417104|20/11/2008 11:28:19 a.m.|La Marquesa|La Marquesa|12|100.00|100.00|410|0|999|12
19|19|67|D|19|19|67|D|5085|917CPFI00356786|20/11/2008 11:28:22 a.m.|La Marquesa|La Marquesa|12|100.00|100.00|410|0|999|12
19|19|67|D|19|19|67|D|5080|STOCKCPFI00558418|20/11/2008 11:28:24 a.m.|La Marquesa|La Marquesa|1|50.00|50.00|410|0|999|1
19|19|67|D|19|19|67|D|5085|959CPFI00422372|20/11/2008 11:28:30 a.m.|La Marquesa|La Marquesa|12|100.00|100.00|410|0|999|12
19|19|67|D|19|19|67|D|5432|CPFI00409826|20/11/2008 11:28:57 a.m.|La Marquesa|La Marquesa|1|25.00|25.00|410|0|999|1
19|19|67|D|19|19|67|D|254|CPFI00218372|20/11/2008 11:47:13 a.m.|La Marquesa|La Marquesa|9|100.00|100.00|410|0|999|9
19|19|67|D|19|19|67|D|4286|CPFI00074841|20/11/2008 11:47:20 a.m.|La Marquesa|La Marquesa|12|100.00|100.00|410|0|999|12
19|19|67|D|19|19|67|D|164|99CPFI00417241|20/11/2008 11:47:31 a.m.|La Marquesa|La Marquesa|12|100.00|100.00|410|0|999|12
19|19|67|D|19|19|67|D|5085|1007CPFI00356838|20/11/2008 11:48:20 a.m.|La Marquesa|La Marquesa|12|100.00|100.00|410|0|999|12
19|19|67|D|19|19|67|D|4286|CPFI00074842|20/11/2008 11:48:30 a.m.|La Marquesa|La Marquesa|12|100.00|100.00|410|0|999|12
